milestone,cohort,label,level,example
HEADER_ONE,DEFAULT,Default 1,1,Is building proficiency in Palantir’s UX Strategy practice
HEADER_TWO,DEFAULT,Default 1,1,"Is developing an understanding of the connections between business goals, user interactions, content strategy, and information architecture"
HEADER_THREE,DEFAULT,Default 1,1,Understands the founding principles of UX design and usability
HEADER_FOUR,DEFAULT,Default 1,1,Is becoming familiar with the technical strengths and constraints within our preferred technology solutions
HEADER_ONE,DEFAULT,Default 2,2,Is building proficiency in Palantir’s UX Strategy practice
HEADER_TWO,DEFAULT,Default 2,2,"Is developing an understanding of the connections between business goals, user interactions, content strategy, and information architecture"
HEADER_THREE,DEFAULT,Default 2,2,Understands the founding principles of UX design and usability
HEADER_FOUR,DEFAULT,Default 2,2,Is becoming familiar with the technical strengths and constraints within our preferred technology solutions
HEADER_ONE,DEFAULT,Default 3,3,Is building proficiency in Palantir’s UX Strategy practice
HEADER_TWO,DEFAULT,Default 3,3,"Is developing an understanding of the connections between business goals, user interactions, content strategy, and information architecture"
HEADER_THREE,DEFAULT,Default 3,3,Understands the founding principles of UX design and usability
HEADER_FOUR,DEFAULT,Default 3,3,Is becoming familiar with the technical strengths and constraints within our preferred technology solutions
HEADER_ONE,DEFAULT,Default 4,4,Is building proficiency in Palantir’s UX Strategy practice
HEADER_TWO,DEFAULT,Default 4,4,"Is developing an understanding of the connections between business goals, user interactions, content strategy, and information architecture"
HEADER_THREE,DEFAULT,Default 4,4,Understands the founding principles of UX design and usability
HEADER_FOUR,DEFAULT,Default 4,4,Is becoming familiar with the technical strengths and constraints within our preferred technology solutions
PLANNING,DEFAULT,Planning and Coordination,1,Is learning how to break down and accurately estimate their own work
PLANNING,DEFAULT,Planning and Coordination,1,Works with more experienced teammates to set project goals and break down larger projects into discrete tasks
PLANNING,DEFAULT,Planning and Coordination,1,Reaches out to others in a timely manner when in need of help
PLANNING,DEFAULT,Planning and Coordination,1,"Commits to and completes their work within expected time frame, holding themselves accountable"
PLANNING,DEFAULT,Planning and Coordination,1,Understands how their work fits within the broader scope and objectives of a project
PLANNING,DEFAULT,Planning and Coordination,1,"Delivers consistently good outcomes within project scope, following quality standards"
PLANNING,DEFAULT,Planning and Coordination,2,Consistently and accurately estimates the amount of time a given task will take
PLANNING,DEFAULT,Planning and Coordination,2,"Is becoming more proficient with their ability to break down tasks, plan and estimate their assigned work, and propose scope changes in order to deliver on time"
PLANNING,DEFAULT,Planning and Coordination,2,Prioritizes tasks in alignment with project goals
