milestone,cohort,label,level,summary
HEADER_ONE,DEFAULT,Servant Leadership,1,Helps unblock individuals by creating a supportive and engaging environment
HEADER_ONE,DEFAULT,Servant Leadership,2,Manages expectations across teams and focuses on building long-term relationships
HEADER_ONE,DEFAULT,Servant Leadership,3,Manages expectations and provides support for individuals and clients to perform at their highest capabilities
HEADER_ONE,DEFAULT,Servant Leadership,4,"Advocates for people's needs, interests, and goals and proactively works to support and enhance growth"
HEADER_ONE,DEFAULT,Servant Leadership,5,"Leads, inspires, and serves others, enabling people to achieve their goals and full potential"
HEADER_TWO,DEFAULT,Coaching,1,Helps individuals think through the likely impacts of alternative decisions
HEADER_TWO,DEFAULT,Coaching,2,Helps individuals accomplish challenging goals
HEADER_TWO,DEFAULT,Coaching,3,"Coaches people proactively, and guides people to realizations rather than providing the answer	"
HEADER_TWO,DEFAULT,Coaching,4,"Coaches and guides all level of individuals to develop and enhance on-the-job performance, knowledge, or behavior"
HEADER_TWO,DEFAULT,Coaching,5,"Empowers others to improve their performance, overcome challenges, and thrive at an optimal level"
HEADER_THREE,DEFAULT,Facilitation,1,"Helps individuals resolve difficult issues, promoting an inclusive environment"
HEADER_THREE,DEFAULT,Facilitation,2,Helps people collectively move through a process
HEADER_THREE,DEFAULT,Facilitation,3,"Mediates escalated situations, empowers people, and resolves conflict	"
HEADER_THREE,DEFAULT,Facilitation,4,"Guides and manages individuals both internally and externally to ensure that the their objectives are met effectively, with clear thinking, good participation, and full buy-in from everyone who is involved"
HEADER_THREE,DEFAULT,Facilitation,5,"Leads people through processes towards agreed-upon objectives in a manner that encourages participation, ownership, and creativity"
HEADER_FOUR,DEFAULT,Motivation,1,Fosters enthusiasm and common purpose across people
HEADER_FOUR,DEFAULT,Motivation,2,"Mobilizes individuals to develop goals, execute plans, and deliver client value        "
HEADER_FOUR,DEFAULT,Motivation,3,Inspires others to a greater effort by setting an example in his/her/their own behavior of dedication
HEADER_FOUR,DEFAULT,Motivation,4,"Conveys confidence in others' capabilities and appeals to others' unique needs, interests, and goals to motivate them to achieve"
HEADER_FOUR,DEFAULT,Motivation,5,Enables and directs generation of energy — motivation to act — among members of the organization and clients
PLANNING,DEFAULT,Planning and Coordination,1,Effectively organizes and manages delivery of individual tasks
PLANNING,DEFAULT,Planning and Coordination,2,Effectively organizes and manages delivery of small projects
PLANNING,DEFAULT,Planning and Coordination,3,Effectively organizes and manages delivery a small team to deliver a project
PLANNING,DEFAULT,Planning and Coordination,4,Effectively organizes and manages delivery of complex and/or multi-stakeholder projects on a large team
PLANNING,DEFAULT,Planning and Coordination,5,Facilitates major internal and external projects delivered by multiple teams
COMMUNICATION,DEFAULT,Communication and Collaboration,1,"Communicates and collaborates effectively with close stakeholders when called upon, and incorporates constructive feedback"
COMMUNICATION,DEFAULT,Communication and Collaboration,2,"Communicates and collaborates with the wider team appropriately, focusing on timeliness and good quality information"
COMMUNICATION,DEFAULT,Communication and Collaboration,3,"Proactively shares information, actively solicits feedback, and facilitates communication for multiple stakeholders"
COMMUNICATION,DEFAULT,Communication and Collaboration,4,"Communicates complex ideas skillfully and with nuance, and establishes alignment within the wider organization"
COMMUNICATION,DEFAULT,Communication and Collaboration,5,"Influences outcomes at the highest level, moves beyond mere broadcasting, and sets default practices for others"
PROFESSIONALISM,DEFAULT,Client Value,1,"Delivers, with guidance, consistently quality work focused on highest value to the client and project"
PROFESSIONALISM,DEFAULT,Client Value,2,Able to optimize work to deliver for client value as defined by the team
PROFESSIONALISM,DEFAULT,Client Value,3,Helps others make good choices about how to optimize work to deliver client value
PROFESSIONALISM,DEFAULT,Client Value,4,Advocates for and models how to be proactive to ensure client and team success
PROFESSIONALISM,DEFAULT,Client Value,5,Enables and encourages the entire organization to deliver client value as a central part of our work
INITIATIVE,DEFAULT,Initiative,1,Identifies opportunities for organizational change and/or product/service improvements
INITIATIVE,DEFAULT,Initiative,2,Causes change to positively impact a few individuals or minor improvement to an existing product or service
INITIATIVE,DEFAULT,Initiative,3,Causes change to positively impact an entire team or instigates a minor feature or service
INITIATIVE,DEFAULT,Initiative,4,Effects change that has a substantial positive impact on the organization or a major product/service impact
INITIATIVE,DEFAULT,Initiative,5,Effects change that has a substantial positive impact on the whole company
