milestone,cohort,category,displayName,description
HEADER_ONE,DEFAULT,A,Servant Leadership,"Demonstrates the capacity to engage with stakeholders both internally and externally, and to develop strong interpersonal relationships with teams and clients to unlock their potential"
HEADER_TWO,DEFAULT,A,Coaching,"Helps people develop their own independent thinking, guiding them through processes and facilitating learning"
HEADER_THREE,DEFAULT,A,Facilitation,"Comprehends the ability to lead people through processes towards agreed-upon objectives in a manner that encourages participation, ownership, and creativity"
HEADER_FOUR,DEFAULT,A,Motivation,Comprehends the ability to energize people to achieve their goals
PLANNING,DEFAULT,B,Planning and Coordination,"Delivers well-scoped programs of work that meet their goals, on time, to budget, harmoniously"
COMMUNICATION,DEFAULT,B,Communication and Collaboration,"Focuses on teamwork, communication skills, asking for and giving feedback, collaboration, and documentation"
PROFESSIONALISM,DEFAULT,B,Client Value,Is focused on delivering repeatable value to our clients by ensuring excellent quality products and services internally and/or externally
INITIATIVE,DEFAULT,C,Initiative,Challenges the status quo and takes ownership and initiative outside of mandated work
LEARNING,DEFAULT,C,Maturity,"Strengthens Palantir's values to create and collaborate in open, diverse, and inclusive environments"
MENTORSHIP,DEFAULT,C,Complexity,"Is able to deal with volatility, uncertainty, ambiguity, and an increasing rate of change in the Complex domain when the outcome is emergent"
COMPLEXITY,DEFAULT,D,Learning and Career Development,Provides strategic support to individuals to help them build the careers they want
BIZDEV,DEFAULT,D,Mentorship,"Provides support to others, spreads knowledge, and develops the team outside formal reporting structures"
CLIENT_VALUE,DEFAULT,D,Influence,Impacts and promotes Palantir's culture and values positively through leadership and representation of our brand
HEADER_ONE,MANAGEMENT,A,Servant Leadership,"Comprehends the capacity to engage with stakeholders both internally and externally, and to develop strong interpersonal relationships with teams and clients to unlock their potential"
HEADER_TWO,MANAGEMENT,A,Coaching,"Helps people to develop their own independent thinking, guiding them through processes and facilitating learning"
HEADER_THREE,MANAGEMENT,A,Facilitation,"Comprehends the ability to lead people through processes towards agreed-upon objectives in a manner that encourages participation, ownership, and creativity"
HEADER_FOUR,MANAGEMENT,A,Motivation,Comprehends the ability to energize people to achieve their goals
HEADER_ONE,ENGINEERING,A,Foundations,"Develops expertise and proficiency in our technical domain, with solid understanding of relevant areas        "
HEADER_TWO,ENGINEERING,A,Coding,"Develops expertise and proficiency in developing and supporting our code base, with solid understanding of relevant areas        "
HEADER_THREE,ENGINEERING,A,DevOps,Develops expertise and proficiency in DevOps
HEADER_FOUR,ENGINEERING,A,Craft,Embodies and promotes practices to ensure excellent quality products and services
HEADER_ONE,FRONTEND,A,Foundations,"Develops expertise and proficiency in our technical domain, with solid understanding of relevant areas        "
HEADER_TWO,FRONTEND,A,Coding,"Develops expertise and proficiency in our front-end code base, with solid understanding of relevant areas	"
HEADER_THREE,FRONTEND,A,Web Technologies,"Develops expertise in web client technologies, such as HTML, CSS, and JavaScript. Contributes to relevant open source projects      "
HEADER_FOUR,FRONTEND,A,Craft,Embodies and promotes practices to ensure excellent quality products and services
HEADER_ONE,PM,A,Foundations,"Develops expertise and proficiency in our project management practice, with solid understanding of relevant areas        "
HEADER_TWO,PM,A,Plan,"Comprehends the processes and activities to identify, define, combine, unify, and coordinate the various elements within project management such as scope, budget, timelines, and resources        "
HEADER_THREE,PM,A,Risk Mitigation,"Comprehends the ability to conduct risk planning, identification, analysis, and response planning and controlling risk on a project        "
HEADER_FOUR,PM,A,Information,"Comprehends the effective exchanges of accurate, appropriate, and relevant information with stakeholders        "
HEADER_ONE,DESIGN,A,Foundations,"Develops expertise and proficiency in our strategy practice, with solid understanding of relevant areas	"
HEADER_TWO,DESIGN,A,Discovery and Definition,"Comprehends the analysis of the business model, stakeholders, goals, key performance indicators, and existing technologies and workflows	"
HEADER_THREE,DESIGN,A,Strategy and Design,Conducts analysis and creates content strategy
HEADER_FOUR,DESIGN,A,User-centered Design,Relies on an understanding of the end user to guide decision making for product design and development
HEADER_ONE,STRATEGY,A,Foundations,"Develops expertise and proficiency in our design practice, with solid understanding of relevant areas"
HEADER_TWO,STRATEGY,A,Information Architecture,"Comprehends the structural designs and organizing principles for information environments, Web sites, and software products"
HEADER_THREE,STRATEGY,A,Interaction Design,Comprehends the application's workflows and behaviors in response to a user's actions
HEADER_FOUR,STRATEGY,A,Visual Design,Comprehends the creation of visual elements and application of visual treatments and branding to Web sites and products
